행정동코드,7월평균생활인구수
11740560,"20,635"
11320681,"13,752"
11710642,"40,784"
11215820,"24,247"
11230545,"32,853"
11305535,"22,843"
11470630,"13,685"
11620715,"10,339"
11620545,"10,527"
11230610,"21,887"
11410615,"35,821"
11140625,"14,575"
11350640,"29,745"
11350665,"20,295"
11470610,"4,070"
11530720,"21,995"
11545700,"11,811"
11590660,"40,643"
11470680,"20,687"
11680580,"43,898"
11260660,"11,913"
11560560,"36,745"
11650652,"38,177"
11650570,"16,650"
11380580,"23,907"
11170700,"10,431"
11560650,"12,770"
11740540,"15,906"
11200650,"19,100"
11680510,"37,805"
11590651,"10,798"
11680600,"28,354"
11380631,"23,723"
11530770,"14,712"
11740520,"39,338"
11260575,"19,596"
11710690,"20,122"
11380510,"33,717"
11620665,"16,334"
11680521,"44,019"
11305534,"22,650"
11710680,"47,399"
11680656,"29,859"
11200540,"21,357"
11470510,"47,161"
11680610,"50,253"
11530750,"22,180"
11305575,"21,404"
11590605,"31,408"
11650651,"53,856"
11380650,"12,325"
11620630,"23,505"
11500570,"16,995"
11290630,"19,638"
11470620,"18,302"
11260600,"16,755"
11305630,"27,965"
11290580,"12,679"
11290525,"21,015"
11350621,"25,816"
11470530,"17,257"
11470580,"13,417"
11140645,"11,835"
11215860,"21,286"
11500560,"19,864"
11740610,"44,371"
11710590,"18,905"
11740620,"27,989"
11710540,"12,399"
11290715,"24,836"
11710641,"20,702"
11410520,"15,977"
11410555,"37,843"
11200670,"19,924"
11170690,"15,513"
11500593,"26,527"
11530595,"11,309"
11290600,"22,949"
11560690,"13,148"
11200620,"12,502"
11170510,"13,480"
11380590,"14,835"
11230660,"27,277"
11290620,"13,843"
11710720,"10,299"
11650580,"23,141"
11380551,"23,815"
11545710,"11,655"
11110700,"7,768"
11380640,"14,971"
11140570,"11,329"
11530780,"50,915"
11290555,"25,648"
11170630,"25,928"
11680565,"43,384"
11200570,"19,505"
11320680,"15,664"
11545620,"14,101"
11590540,"22,042"
11380632,"12,806"
11470670,"18,486"
11500510,"30,781"
11545680,"15,241"
11530740,"28,724"
11230600,"23,378"
11380530,"21,400"
11650560,"32,991"
11305590,"17,591"
11680750,"23,720"
11680545,"44,405"
11350695,"47,244"
11590650,"11,757"
11560515,"19,106"
11290780,"7,242"
11560540,"93,805"
11200560,"19,405"
11470600,"8,269"
11320690,"23,594"
11110515,"17,143"
11410660,"14,373"
11110540,"5,117"
11440630,"17,843"
11680655,"35,752"
11560660,"7,530"
11470590,"11,414"
11110630,"16,822"
11320670,"17,291"
11680630,"41,336"
11680690,"16,024"
11590550,"18,251"
11170640,"6,978"
11215830,"20,535"
11260550,"11,044"
11305606,"14,642"
11500604,"14,565"
11530730,"17,097"
11620745,"19,843"
11740580,"15,146"
11545670,"27,398"
11200645,"27,136"
11350710,"18,628"
11440585,"16,878"
11110710,"12,799"
11740515,"51,629"
11710631,"26,012"
11140580,"12,143"
11290685,"19,143"
11170520,"12,028"
11740685,"56,112"
11305545,"34,668"
11350560,"21,766"
11560535,"52,908"
11710650,"34,362"
11140680,"9,451"
11590620,"25,856"
11500540,"48,586"
11440710,"18,810"
11560680,"21,594"
11620645,"22,592"
11680730,"15,710"
11230710,"19,814"
11320700,"11,695"
11710632,"25,983"
11470540,"18,170"
11260630,"18,842"
11620525,"16,359"
11290650,"17,963"
11140615,"22,035"
11740600,"29,749"
11650531,"43,755"
11710646,"34,212"
11560630,"17,441"
11140550,"37,115"
11560710,"18,937"
11440730,"35,582"
11170650,"13,442"
11560610,"19,063"
11410700,"18,211"
11110580,"7,143"
11650620,"17,532"
11440700,"16,684"
11440600,"22,159"
11470520,"22,630"
11260520,"20,621"
11710532,"19,087"
11290590,"13,619"
11470560,"14,793"
11410690,"6,925"
11620695,"30,427"
11650550,"2,956"
11740690,"4,470"
11590520,"18,209"
11350670,"18,249"
11680650,"54,676"
11320522,"19,278"
11380625,"42,058"
11545510,"60,073"
11680700,"44,886"
11200550,"22,798"
11500550,"13,082"
11320660,"17,033"
11260690,"17,140"
11110600,"7,131"
11230730,"19,956"
11710710,"42,244"
11230536,"40,981"
11680670,"24,976"
11440610,"10,856"
11500640,"25,797"
11380520,"29,139"
11140650,"9,121"
11200790,"19,296"
11710580,"30,626"
11110530,"24,657"
11590640,"20,724"
11110640,"23,777"
11410710,"14,778"
11320521,"18,577"
11260620,"25,423"
11110560,"17,452"
11560670,"11,004"
11410620,"22,770"
11530560,"32,551"
11710570,"36,364"
11305620,"18,019"
11440660,"74,251"
11260565,"26,543"
11230750,"14,771"
11410685,"23,583"
11290640,"14,690"
11410720,"36,300"
11215870,"29,252"
11470640,"42,195"
11305600,"12,961"
11620595,"38,558"
11320511,"22,343"
11710566,"17,494"
11650510,"30,732"
11305610,"17,275"
11560620,"28,489"
11215710,"38,766"
11215850,"25,869"
11350700,"17,615"
11545630,"22,045"
11620655,"16,609"
11650590,"18,349"
11470650,"32,473"
11530760,"17,136"
11350600,"42,777"
11500535,"39,672"
11560605,"38,798"
11110680,"9,841"
11650600,"20,350"
11500590,"28,260"
11140520,"29,429"
11710561,"17,699"
11680640,"109,277"
11620625,"24,971"
11200660,"19,903"
11410655,"10,635"
11500603,"50,311"
11650540,"33,623"
11215810,"35,627"
11530510,"32,957"
11320513,"10,495"
11500630,"32,242"
11650530,"64,569"
11170555,"21,959"
11230705,"18,344"
11500591,"20,373"
11710670,"33,590"
11500611,"35,295"
11410585,"54,462"
11200535,"29,623"
11410565,"40,110"
11500605,"10,333"
11215780,"14,936"
11350580,"24,852"
11290770,"11,821"
11230560,"29,657"
11620725,"27,902"
11500620,"34,201"
11110570,"6,890"
11170625,"51,779"
11350720,"13,356"
11215750,"18,481"
11530530,"33,443"
11305555,"26,686"
11710550,"14,905"
11590670,"16,715"
11380690,"62,844"
11200690,"34,229"
11350630,"36,745"
11215770,"24,067"
11290810,"26,794"
11440720,"21,778"
11200615,"19,579"
11320512,"28,293"
11215760,"15,287"
11620565,"22,292"
11200580,"10,736"
11140670,"13,221"
11590680,"25,210"
11305645,"19,350"
11350624,"15,909"
11290660,"34,428"
11230720,"16,572"
11500615,"32,164"
11545690,"10,169"
11170580,"9,591"
11380552,"22,612"
11650520,"46,454"
11470550,"37,837"
11620735,"31,972"
11710647,"42,702"
11620775,"17,799"
11470611,"16,065"
11620685,"20,920"
11350619,"20,543"
11200720,"10,673"
11710562,"36,414"
11710510,"15,392"
11680531,"44,600"
11740570,"27,282"
11230570,"16,018"
11170560,"20,859"
11215840,"23,814"
11560700,"16,566"
11170570,"15,302"
11710600,"28,987"
11680740,"16,432"
11140540,"25,595"
11710610,"30,645"
11620615,"15,531"
11320514,"28,551"
11140605,"18,213"
11650621,"27,254"
11410640,"15,499"
11440565,"39,172"
11380600,"23,698"
11740550,"24,378"
11650660,"25,426"
11260590,"26,250"
11620605,"28,809"
11110615,"62,157"
11140665,"9,872"
11440690,"20,374"
11560720,"25,170"
11545610,"34,226"
11320710,"19,909"
11530550,"18,240"
11350595,"42,609"
11470570,"14,165"
11440555,"25,447"
11230650,"34,611"
11215847,"26,126"
11260570,"18,893"
11200590,"15,059"
11440590,"31,535"
11260580,"17,480"
11110650,"29,878"
11545640,"11,454"
11110670,"8,272"
11260655,"38,742"
11290725,"22,549"
11260680,"34,433"
11740650,"24,565"
11680590,"40,380"
11500520,"22,214"
11170685,"31,377"
11740530,"26,471"
11440655,"26,302"
11350570,"19,077"
11560585,"14,379"
11590530,"43,167"
11350611,"25,475"
11530790,"22,064"
11290705,"36,442"
11710520,"35,924"
11380570,"40,579"
11590510,"35,625"
11290610,"15,848"
11620585,"23,085"
11620765,"20,871"
11290575,"24,597"
11440680,"23,209"
11380560,"24,661"
11320515,"19,323"
11110690,"4,867"
11680720,"24,822"
11740640,"23,624"
11530540,"41,354"
11305660,"28,270"
11170530,"16,866"
11710531,"12,424"
11710620,"38,446"
11260610,"24,183"
11560550,"25,422"
11110550,"14,329"
11650581,"43,288"
11740590,"13,210"
11530520,"16,938"
11590560,"21,391"
11740700,"27,077"
11740660,"26,372"
11650610,"20,683"
11215740,"15,042"
11215730,"19,049"
11170590,"8,373"
11350625,"33,221"
11500641,"16,971"
11350612,"14,929"
11620575,"23,076"
11260540,"17,166"
11680660,"8,830"
11590630,"31,559"
11500530,"15,977"
11440740,"47,615"
11170660,"10,853"
11140635,"14,531"
11140590,"23,176"
11230740,"22,796"
11290760,"20,724"
11200520,"14,701"
