행정구,행정동,행정동코드,생활인구
종로구,청운효자동,11110515,"17,143"
종로구,사직동,11110530,"24,657"
종로구,삼청동,11110540,"5,117"
종로구,부암동,11110550,"14,329"
종로구,평창동,11110560,"17,452"
종로구,무악동,11110570,"6,890"
종로구,교남동,11110580,"7,143"
종로구,가회동,11110600,"7,131"
종로구,종로1.2.3.4가동,11110615,"62,157"
종로구,종로5.6가동,11110630,"16,822"
종로구,이화동,11110640,"23,777"
종로구,혜화동,11110650,"29,878"
종로구,창신1동,11110670,"8,272"
종로구,창신2동,11110680,"9,841"
종로구,창신3동,11110690,"4,867"
종로구,숭인1동,11110700,"7,768"
종로구,숭인2동,11110710,"12,799"
중구,소공동,11140520,"29,429"
중구,회현동,11140540,"25,595"
중구,명동,11140550,"37,115"
중구,필동,11140570,"11,329"
중구,장충동,11140580,"12,143"
중구,광희동,11140590,"23,176"
중구,을지로동,11140605,"18,213"
중구,신당동,11140615,"22,035"
중구,다산동,11140625,"14,575"
중구,약수동,11140635,"14,531"
중구,청구동,11140645,"11,835"
중구,신당5동,11140650,"9,121"
중구,동화동,11140665,"9,872"
중구,황학동,11140670,"13,221"
중구,중림동,11140680,"9,451"
용산구,후암동,11170510,"13,480"
용산구,용산2가동,11170520,"12,028"
용산구,남영동,11170530,"16,866"
용산구,청파동,11170555,"21,959"
용산구,원효로1동,11170560,"20,859"
용산구,원효로2동,11170570,"15,302"
용산구,효창동,11170580,"9,591"
용산구,용문동,11170590,"8,373"
용산구,한강로동,11170625,"51,779"
용산구,이촌1동,11170630,"25,928"
용산구,이촌2동,11170640,"6,978"
용산구,이태원1동,11170650,"13,442"
용산구,이태원2동,11170660,"10,853"
용산구,한남동,11170685,"31,377"
용산구,서빙고동,11170690,"15,513"
용산구,보광동,11170700,"10,431"
성동구,왕십리2동,11200520,"14,701"
성동구,왕십리도선동,11200535,"29,623"
성동구,마장동,11200540,"21,357"
성동구,사근동,11200550,"22,798"
성동구,행당1동,11200560,"19,405"
성동구,행당2동,11200570,"19,505"
성동구,응봉동,11200580,"10,736"
성동구,금호1가동,11200590,"15,059"
성동구,금호2.3가동,11200615,"19,579"
성동구,금호4가동,11200620,"12,502"
성동구,옥수동,11200645,"27,136"
성동구,성수1가1동,11200650,"19,100"
성동구,성수1가2동,11200660,"19,903"
성동구,성수2가1동,11200670,"19,924"
성동구,성수2가3동,11200690,"34,229"
성동구,송정동,11200720,"10,673"
성동구,용답동,11200790,"19,296"
광진구,화양동,11215710,"38,766"
광진구,군자동,11215730,"19,049"
광진구,중곡1동,11215740,"15,042"
광진구,중곡2동,11215750,"18,481"
광진구,중곡3동,11215760,"15,287"
광진구,중곡4동,11215770,"24,067"
광진구,능동,11215780,"14,936"
광진구,광장동,11215810,"35,627"
광진구,자양1동,11215820,"24,247"
광진구,자양2동,11215830,"20,535"
광진구,자양3동,11215840,"23,814"
광진구,자양4동,11215847,"26,126"
광진구,구의1동,11215850,"25,869"
광진구,구의2동,11215860,"21,286"
광진구,구의3동,11215870,"29,252"
동대문구,용신동,11230536,"40,981"
동대문구,제기동,11230545,"32,853"
동대문구,전농1동,11230560,"29,657"
동대문구,전농2동,11230570,"16,018"
동대문구,답십리1동,11230600,"23,378"
동대문구,답십리2동,11230610,"21,887"
동대문구,장안1동,11230650,"34,611"
동대문구,장안2동,11230660,"27,277"
동대문구,청량리동,11230705,"18,344"
동대문구,회기동,11230710,"19,814"
동대문구,휘경1동,11230720,"16,572"
동대문구,휘경2동,11230730,"19,956"
동대문구,이문1동,11230740,"22,796"
동대문구,이문2동,11230750,"14,771"
중랑구,면목2동,11260520,"20,621"
중랑구,면목4동,11260540,"17,166"
중랑구,면목5동,11260550,"11,044"
중랑구,면목본동,11260565,"26,543"
중랑구,면목7동,11260570,"18,893"
중랑구,면목3.8동,11260575,"19,596"
중랑구,상봉1동,11260580,"17,480"
중랑구,상봉2동,11260590,"26,250"
중랑구,중화1동,11260600,"16,755"
중랑구,중화2동,11260610,"24,183"
중랑구,묵1동,11260620,"25,423"
중랑구,묵2동,11260630,"18,842"
중랑구,망우본동,11260655,"38,742"
중랑구,망우3동,11260660,"11,913"
중랑구,신내1동,11260680,"34,433"
중랑구,신내2동,11260690,"17,140"
성북구,성북동,11290525,"21,015"
성북구,삼선동,11290555,"25,648"
성북구,동선동,11290575,"24,597"
성북구,돈암1동,11290580,"12,679"
성북구,돈암2동,11290590,"13,619"
성북구,안암동,11290600,"22,949"
성북구,보문동,11290610,"15,848"
성북구,정릉1동,11290620,"13,843"
성북구,정릉2동,11290630,"19,638"
성북구,정릉3동,11290640,"14,690"
성북구,정릉4동,11290650,"17,963"
성북구,길음1동,11290660,"34,428"
성북구,길음2동,11290685,"19,143"
성북구,종암동,11290705,"36,442"
성북구,월곡1동,11290715,"24,836"
성북구,월곡2동,11290725,"22,549"
성북구,장위1동,11290760,"20,724"
성북구,장위2동,11290770,"11,821"
성북구,장위3동,11290780,"7,242"
성북구,석관동,11290810,"26,794"
강북구,삼양동,11305534,"22,650"
강북구,미아동,11305535,"22,843"
강북구,송중동,11305545,"34,668"
강북구,송천동,11305555,"26,686"
강북구,삼각산동,11305575,"21,404"
강북구,번1동,11305590,"17,591"
강북구,번2동,11305600,"12,961"
강북구,번3동,11305606,"14,642"
강북구,수유1동,11305610,"17,275"
강북구,수유2동,11305620,"18,019"
강북구,수유3동,11305630,"27,965"
강북구,우이동,11305645,"19,350"
강북구,인수동,11305660,"28,270"
도봉구,창1동,11320511,"22,343"
도봉구,창2동,11320512,"28,293"
도봉구,창3동,11320513,"10,495"
도봉구,창4동,11320514,"28,551"
도봉구,창5동,11320515,"19,323"
도봉구,도봉1동,11320521,"18,577"
도봉구,도봉2동,11320522,"19,278"
도봉구,쌍문1동,11320660,"17,033"
도봉구,쌍문2동,11320670,"17,291"
도봉구,쌍문3동,11320680,"15,664"
도봉구,쌍문4동,11320681,"13,752"
도봉구,방학1동,11320690,"23,594"
도봉구,방학2동,11320700,"11,695"
도봉구,방학3동,11320710,"19,909"
노원구,월계1동,11350560,"21,766"
노원구,월계2동,11350570,"19,077"
노원구,월계3동,11350580,"24,852"
노원구,공릉1동,11350595,"42,609"
노원구,공릉2동,11350600,"42,777"
노원구,하계1동,11350611,"25,475"
노원구,하계2동,11350612,"14,929"
노원구,중계본동,11350619,"20,543"
노원구,중계1동,11350621,"25,816"
노원구,중계4동,11350624,"15,909"
노원구,중계2.3동,11350625,"33,221"
노원구,상계1동,11350630,"36,745"
노원구,상계2동,11350640,"29,745"
노원구,상계3.4동,11350665,"20,295"
노원구,상계5동,11350670,"18,249"
노원구,상계6.7동,11350695,"47,244"
노원구,상계8동,11350700,"17,615"
노원구,상계9동,11350710,"18,628"
노원구,상계10동,11350720,"13,356"
은평구,녹번동,11380510,"33,717"
은평구,불광1동,11380520,"29,139"
은평구,불광2동,11380530,"21,400"
은평구,갈현1동,11380551,"23,815"
은평구,갈현2동,11380552,"22,612"
은평구,구산동,11380560,"24,661"
은평구,대조동,11380570,"40,579"
은평구,응암1동,11380580,"23,907"
은평구,응암2동,11380590,"14,835"
은평구,응암3동,11380600,"23,698"
은평구,역촌동,11380625,"42,058"
은평구,신사1동,11380631,"23,723"
은평구,신사2동,11380632,"12,806"
은평구,증산동,11380640,"14,971"
은평구,수색동,11380650,"12,325"
은평구,진관동,11380690,"62,844"
서대문구,천연동,11410520,"15,977"
서대문구,북아현동,11410555,"37,843"
서대문구,충현동,11410565,"40,110"
서대문구,신촌동,11410585,"54,462"
서대문구,연희동,11410615,"35,821"
서대문구,홍제1동,11410620,"22,770"
서대문구,홍제3동,11410640,"15,499"
서대문구,홍제2동,11410655,"10,635"
서대문구,홍은1동,11410660,"14,373"
서대문구,홍은2동,11410685,"23,583"
서대문구,남가좌1동,11410690,"6,925"
서대문구,남가좌2동,11410700,"18,211"
서대문구,북가좌1동,11410710,"14,778"
서대문구,북가좌2동,11410720,"36,300"
마포구,아현동,11440555,"25,447"
마포구,공덕동,11440565,"39,172"
마포구,도화동,11440585,"16,878"
마포구,용강동,11440590,"31,535"
마포구,대흥동,11440600,"22,159"
마포구,염리동,11440610,"10,856"
마포구,신수동,11440630,"17,843"
마포구,서강동,11440655,"26,302"
마포구,서교동,11440660,"74,251"
마포구,합정동,11440680,"23,209"
마포구,망원1동,11440690,"20,374"
마포구,망원2동,11440700,"16,684"
마포구,연남동,11440710,"18,810"
마포구,성산1동,11440720,"21,778"
마포구,성산2동,11440730,"35,582"
마포구,상암동,11440740,"47,615"
양천구,목1동,11470510,"47,161"
양천구,목2동,11470520,"22,630"
양천구,목3동,11470530,"17,257"
양천구,목4동,11470540,"18,170"
양천구,목5동,11470550,"37,837"
양천구,신월1동,11470560,"14,793"
양천구,신월2동,11470570,"14,165"
양천구,신월3동,11470580,"13,417"
양천구,신월4동,11470590,"11,414"
양천구,신월5동,11470600,"8,269"
양천구,신월6동,11470610,"4,070"
양천구,신월7동,11470611,"16,065"
양천구,신정1동,11470620,"18,302"
양천구,신정2동,11470630,"13,685"
양천구,신정3동,11470640,"42,195"
양천구,신정4동,11470650,"32,473"
양천구,신정6동,11470670,"18,486"
양천구,신정7동,11470680,"20,687"
강서구,염창동,11500510,"30,781"
강서구,등촌1동,11500520,"22,214"
