행정구,행정동,행정동코드,생활인구,사망자수,중상자수,경상자수
송파구,가락동,11710620,154870,0,81,4
구로구,가리봉동,11530595,11309,3,17,3
금천구,가산동,11545510,60073,4,37,11
강서구,가양동,11500603,75209,3,125,31
종로구,가회동,11110600,7131,0,1,0
은평구,갈현동,11380551,46427,0,26,5
강동구,강일동,11740515,51629,1,8,4
구로구,개봉동,11530740,68040,4,67,9
강남구,개포동,11680660,49830,0,47,12
송파구,거여동,11710531,51511,1,19,1
강동구,고덕동,11740550,45013,1,10,4
구로구,고척동,11530720,39092,1,28,7
마포구,공덕동,11440565,39172,1,21,2
노원구,공릉동,11350595,85386,1,78,14
강서구,공항동,11500620,34201,0,9,4
광진구,광장동,11215810,35627,0,7,0
중구,광희동,11140590,23176,0,31,2
종로구,교남동,11110580,7143,0,7,2
구로구,구로동,11530520,142526,5,117,23
은평구,구산동,11380560,24661,0,14,3
광진구,구의동,11215850,76407,0,30,6
광진구,군자동,11215730,19049,0,19,3
성동구,금호1가동,11200590,15059,0,12,1
성동구,금호2.3가동,11200615,19579,0,10,0
성동구,금호4가동,11200620,12502,1,9,0
강동구,길동,11740685,56112,0,33,7
성북구,길음동,11290660,53571,2,24,2
관악구,낙성대동,11620585,23085,0,3,0
서대문구,남가좌동,11410690,45265,2,82,7
용산구,남영동,11170530,16866,0,14,4
관악구,남현동,11620630,23505,0,14,0
서초구,내곡동,11650660,25426,0,4,1
동작구,노량진1동,11590510,35625,1,41,6
동작구,노량진2동,11590520,18209,0,9,2
은평구,녹번동,11380510,33717,1,27,10
강남구,논현1동,11680521,44019,0,139,27
강남구,논현2동,11680531,44600,0,3,1
광진구,능동,11215780,14936,0,10,0
중구,다산동,11140625,14575,0,1,0
동대문구,답십리동,11230600,45265,2,82,7
영등포구,당산1동,11560550,25422,0,33,5
영등포구,당산2동,11560560,36745,0,19,1
영등포구,대림동,11560700,60673,0,51,12
동작구,대방동,11590660,40643,0,20,4
은평구,대조동,11380570,40579,1,19,5
강남구,대치동,11680600,119943,3,96,7
관악구,대학동,11620735,31972,0,1,0
마포구,대흥동,11440600,22159,0,18,2
강남구,도곡동,11680655,65611,1,40,9
영등포구,도림동,11560585,14379,0,11,3
도봉구,도봉동,11320521,37855,2,40,4
마포구,도화동,11440585,16878,0,9,3
금천구,독산동,11545610,81826,4,127,32
성북구,돈암동,11290580,26298,0,21,7
성북구,동선동,11290575,24597,1,22,3
중구,동화동,11140665,9872,0,3,0
강동구,둔촌동,11740690,31547,0,18,2
강서구,등촌동,11500520,77863,0,52,9
성동구,마장동,11200540,21357,0,33,4
송파구,마천동,11710540,27304,0,19,4
중랑구,망우동,11260655,27304,0,19,4
마포구,망원동,11440690,37058,0,17,3
중랑구,면목동,11260565,113863,3,160,26
중구,명동,11140550,37115,3,26,4
강동구,명일동,11740530,42377,1,32,2
양천구,목동,11470510,143055,1,64,6
종로구,무악동,11110570,6890,0,1,0
중랑구,묵동,11260620,44265,0,51,8
영등포구,문래동,11560605,38798,0,43,7
