,자치구,행정동,사망자수,중상자수,경상자수
0,용산구,후암동,0,1,0
1,성동구,용답동,0,1,0
2,서대문구,북아현동,0,1,0
3,서초구,서초동,0,1,0
4,영등포구,여의도동,0,1,0
5,중랑구,면목동,0,1,0
6,영등포구,신길동,0,1,0
7,송파구,가락동,0,1,0
8,중구,신당동,0,1,0
9,중랑구,면목동,0,1,0
10,은평구,갈현동,0,1,0
11,양천구,목동,0,1,0
12,서초구,우면동,0,1,0
13,영등포구,영등포동2가,0,1,0
14,동대문구,장안동,0,1,0
15,관악구,신림동,0,1,0
16,강서구,방화동,0,1,0
17,마포구,용강동,0,1,0
18,도봉구,도봉동,0,1,0
19,종로구,궁정동,0,1,0
20,구로구,구로동,0,1,1
21,동대문구,장안동,0,1,0
22,서대문구,북가좌동,0,1,0
23,양천구,목동,0,1,1
24,서대문구,홍은동,0,1,0
25,서초구,반포동,0,1,0
26,용산구,한남동,0,1,0
27,강동구,천호동,0,1,0
28,관악구,봉천동,0,1,0
29,영등포구,영등포동7가,0,1,0
30,용산구,이태원동,0,2,0
31,서초구,방배동,0,1,0
32,동작구,상도동,0,1,0
33,종로구,구기동,0,1,0
34,영등포구,양평동2가,0,1,0
35,구로구,구로동,0,1,0
36,동대문구,장안동,0,1,0
37,동작구,상도동,0,1,0
38,마포구,마포동,0,1,0
39,동작구,신대방동,0,1,0
40,노원구,상계동,0,1,0
41,성북구,종암동,0,2,0
42,동대문구,답십리동,0,1,0
43,강남구,대치동,0,1,0
44,용산구,원효로1가,0,1,2
45,동대문구,용두동,0,1,0
46,동작구,상도동,0,1,0
47,종로구,창신동,0,1,0
48,도봉구,쌍문동,0,1,1
49,중랑구,중화동,0,1,0
50,중구,만리동1가,0,1,0
51,중구,쌍림동,0,1,0
52,중랑구,중화동,0,1,0
53,영등포구,여의도동,0,1,0
54,구로구,구로동,0,1,0
55,강남구,논현동,0,1,0
56,성북구,삼선동3가,0,1,0
57,강북구,미아동,0,1,1
58,영등포구,도림동,0,1,0
59,노원구,상계동,0,1,1
60,동대문구,제기동,0,1,0
61,구로구,오류동,0,2,0
62,강남구,역삼동,0,1,0
63,동작구,노량진동,0,1,0
64,영등포구,문래동1가,0,1,0
65,송파구,송파동,0,1,0
66,강서구,화곡동,0,1,0
67,동대문구,답십리동,0,1,0
68,은평구,역촌동,0,1,0
69,성북구,보문동4가,0,1,0
70,동대문구,장안동,0,1,0
71,성북구,돈암동,0,1,0
72,마포구,노고산동,0,2,0
73,강북구,수유동,0,1,0
74,노원구,중계동,0,1,0
75,광진구,자양동,0,1,3
76,양천구,신정동,0,1,0
77,노원구,상계동,0,1,0
78,금천구,시흥동,0,1,0
79,도봉구,쌍문동,0,1,0
80,동작구,사당동,0,1,0
81,동작구,신대방동,0,1,0
82,중구,황학동,0,1,0
83,강남구,논현동,0,1,0
84,중랑구,상봉동,0,1,0
85,강남구,개포동,0,1,0
86,금천구,시흥동,0,1,0
87,강북구,미아동,0,1,0
88,중구,신당동,0,1,0
89,중랑구,중화동,0,1,1
90,용산구,효창동,0,1,0
91,노원구,중계동,0,1,0
92,영등포구,당산동3가,0,1,0
93,영등포구,당산동3가,0,1,0
94,도봉구,도봉동,0,1,0
95,종로구,수송동,0,1,0
96,송파구,가락동,0,1,0
97,강동구,천호동,0,1,0
98,강남구,신사동,0,1,0
99,강남구,논현동,0,1,0
100,송파구,송파동,0,1,0
101,관악구,봉천동,0,1,0
102,동대문구,답십리동,0,1,0
103,동작구,흑석동,0,1,0
104,종로구,동숭동,0,1,0
105,양천구,목동,0,1,0
106,서대문구,북가좌동,0,1,4
107,노원구,월계동,0,1,0
108,도봉구,쌍문동,0,1,0
109,송파구,삼전동,0,1,0
110,도봉구,창동,1,0,2
111,동대문구,신설동,0,1,0
112,강서구,공항동,0,1,3
113,관악구,신림동,0,1,0
114,구로구,천왕동,0,1,0
115,중구,중림동,0,1,0
116,관악구,봉천동,0,1,0
117,노원구,하계동,0,1,1
118,구로구,구로동,1,0,0
119,중랑구,망우동,0,1,0
120,관악구,신림동,0,1,0
121,관악구,신림동,0,1,0
122,강남구,역삼동,0,1,0
123,성북구,동선동3가,0,1,0
124,은평구,역촌동,0,1,0
125,강남구,일원동,0,1,0
126,은평구,신사동,0,1,0
127,구로구,개봉동,1,0,0
128,서초구,서초동,0,1,1
129,용산구,청파동2가,0,1,0
130,영등포구,신길동,0,1,0
131,강북구,미아동,0,1,0
132,성북구,안암동4가,0,1,0
133,강북구,미아동,0,1,1
134,중구,흥인동,0,1,0
135,관악구,신림동,0,1,0
136,강서구,등촌동,0,1,0
