구_x,행정동,1인가구,행정동코드,생활인구,도로면적,사망자수,중상자수,경상자수
종로구,사직동,1487,11110530.0,24657.0,0.263712,0.0,3.0,2.0
종로구,삼청동,380,11110540.0,5117.0,0.319456,0.0,2.0,0.0
종로구,부암동,1129,11110550.0,14329.0,0.486688,0.0,1.0,0.0
종로구,평창동,1302,11110560.0,17452.0,1.901728,0.0,21.0,2.0
종로구,무악동,494,11110570.0,6890.0,0.077184,0.0,1.0,0.0
종로구,교남동,1219,11110580.0,7143.0,0.07504,0.0,7.0,2.0
종로구,가회동,631,11110600.0,7131.0,0.115776,0.0,1.0,0.0
종로구,종로1.2.3.4가동,2371,11110615.0,62157.0,0.50384,0.0,30.0,3.0
종로구,종로5.6가동,1608,11110630.0,16822.0,0.12864,3.0,21.0,4.0
종로구,이화동,2094,11110640.0,23777.0,0.167232,0.0,0.0,0.0
종로구,창신1동,1069,11110670.0,8272.0,0.066464,1.0,17.0,4.0
종로구,창신2동,1288,11110680.0,9841.0,0.055744,0.0,0.0,0.0
종로구,창신3동,613,11110690.0,4867.0,0.049312,0.0,0.0,0.0
종로구,숭인1동,1007,11110700.0,7768.0,0.049312,0.0,19.0,2.0
종로구,숭인2동,2988,11110710.0,12799.0,0.07504,0.0,0.0,0.0
종로구,청운효자동,1378,11110515.0,17143.0,0.551008,0.0,19.0,3.0
종로구,혜화동,4925,11110650.0,29878.0,0.240128,0.0,5.0,1.0
중구,소공동,435,11140520.0,29429.0,0.17879,0.0,2.0,0.0
중구,회현동,867,11140540.0,25595.0,0.158088,0.0,0.0,0.0
중구,명동,581,11140550.0,37115.0,0.186318,3.0,26.0,4.0
중구,필동,1020,11140570.0,11329.0,0.214548,0.0,4.0,1.0
중구,장충동,1509,11140580.0,12143.0,0.255952,0.0,10.0,2.0
중구,광희동,1391,11140590.0,23176.0,0.139268,0.0,31.0,2.0
중구,을지로동,781,11140605.0,18213.0,0.11292,0.0,19.0,12.0
중구,신당5동,2182,11140650.0,9121.0,0.073398,0.0,109.0,15.0
중구,황학동,2963,11140670.0,13221.0,0.062106,0.0,17.0,1.0
중구,중림동,1627,11140680.0,9451.0,0.090336,0.0,2.0,0.0
중구,신당동,2223,11140615.0,22035.0,0.10351,0.0,0.0,0.0
중구,다산동,2466,11140625.0,14575.0,0.095982,0.0,1.0,0.0
중구,약수동,2054,11140635.0,14531.0,0.090336,0.0,0.0,0.0
중구,청구동,1924,11140645.0,11835.0,0.063988,0.0,0.0,0.0
중구,동화동,795,11140665.0,9872.0,0.048932,0.0,3.0,0.0
용산구,후암동,2800,11170510.0,13480.0,0.190834,0.0,7.0,1.0
용산구,용산2가동,1911,11170520.0,12028.0,0.434924,0.0,11.0,0.0
용산구,남영동,2382,11170530.0,16866.0,0.264061,0.0,14.0,4.0
용산구,원효로2동,1601,11170570.0,15302.0,0.157549,1.0,5.0,0.0
용산구,효창동,1082,11170580.0,9591.0,0.097636,0.0,6.0,1.0
용산구,용문동,1576,11170590.0,8373.0,0.062132,0.0,5.0,1.0
용산구,이촌1동,1212,11170630.0,25928.0,0.634634,0.0,15.0,1.0
용산구,이촌2동,803,11170640.0,6978.0,0.270718,0.0,0.0,0.0
용산구,이태원1동,1479,11170650.0,13442.0,0.126483,0.0,37.0,5.0
용산구,이태원2동,1874,11170660.0,10853.0,0.190834,0.0,0.0,0.0
용산구,서빙고동,1178,11170690.0,15513.0,0.62132,1.0,23.0,5.0
용산구,보광동,3121,11170700.0,10431.0,0.157549,0.0,12.0,1.0
용산구,청파동,5218,11170555.0,21959.0,0.19971,1.0,19.0,2.0
용산구,원효로1동,2735,11170560.0,20859.0,0.130921,0.0,15.0,4.0
용산구,한강로동,3755,11170625.0,51779.0,0.64351,2.0,41.0,5.0
용산구,한남동,4154,11170685.0,31377.0,0.667919,3.0,41.0,3.0
성동구,왕십리2동,2275,11200520.0,14701.0,0.094669,1.0,15.0,3.0
성동구,마장동,3674,11200540.0,21357.0,0.242445,0.0,33.0,4.0
성동구,사근동,4754,11200550.0,22798.0,0.25399,0.0,4.0,1.0
성동구,행당1동,1930,11200560.0,19405.0,0.136231,2.0,42.0,7.0
성동구,행당2동,1764,11200570.0,19505.0,0.096978,0.0,0.0,0.0
