사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,가해운전자 차종,가해운전자 상해정도,피해운전자 차종,피해운전자 상해정도
2019년 1월 1일 02시,서울특별시 서초구 방배동,중상사고,0,1,0,0,기타불명,기타불명,보행자,중상
2019년 1월 1일 06시,서울특별시 노원구 월계동,중상사고,0,1,0,0,화물,상해없음,자전거,중상
2019년 1월 1일 07시,서울특별시 강남구 압구정동,중상사고,0,1,1,0,승용,상해없음,승용,상해없음
2019년 1월 1일 12시,서울특별시 중랑구 묵동,중상사고,0,1,0,0,승합,상해없음,,
2019년 1월 1일 12시,서울특별시 강동구 천호동,중상사고,0,1,0,0,승합,상해없음,,
2019년 1월 1일 15시,서울특별시 서초구 서초동,중상사고,0,2,4,0,승용,상해없음,승용,경상
2019년 1월 1일 17시,서울특별시 종로구 공평동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 1일 18시,서울특별시 성북구 하월곡동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 1일 19시,서울특별시 용산구 후암동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 1일 19시,서울특별시 중랑구 상봉동,중상사고,0,1,0,0,기타불명,기타불명,보행자,중상
2019년 1월 1일 19시,서울특별시 강남구 삼성동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 1일 19시,서울특별시 강서구 방화동,중상사고,0,1,1,0,승용,상해없음,보행자,중상
2019년 1월 1일 21시,서울특별시 은평구 진관동,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 1월 1일 22시,서울특별시 강동구 상일동,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 1월 1일 23시,서울특별시 금천구 시흥동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 1일 23시,서울특별시 송파구 잠실동,중상사고,0,1,0,0,승용,상해없음,자전거,중상
2019년 1월 2일 05시,서울특별시 성북구 하월곡동,중상사고,0,4,0,0,승용,중상,승용,중상
2019년 1월 2일 06시,서울특별시 은평구 구산동,중상사고,0,1,2,0,승용,상해없음,승용,경상
2019년 1월 2일 06시,서울특별시 은평구 대조동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 2일 09시,서울특별시 송파구 장지동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 1월 2일 10시,서울특별시 중구 산림동,사망사고,1,0,0,0,건설기계,상해없음,보행자,사망
2019년 1월 2일 10시,서울특별시 성북구 상월곡동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 2일 10시,서울특별시 강남구 대치동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 2일 11시,서울특별시 성동구 용답동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 2일 11시,서울특별시 양천구 신정동,중상사고,0,1,3,1,승용,경상,승용,중상
2019년 1월 2일 12시,서울특별시 서대문구 북아현동,중상사고,0,1,0,0,이륜,중상,건설기계,상해없음
2019년 1월 2일 13시,서울특별시 마포구 성산동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
