,index,사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,가해운전자 차종,가해운전자 상해정도,피해운전자 차종,피해운전자 상해정도
0,8,2019년 1월 1일 19시,서울특별시 용산구 후암동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
1,23,2019년 1월 2일 11시,서울특별시 성동구 용답동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2,25,2019년 1월 2일 12시,서울특별시 서대문구 북아현동,중상사고,0,1,0,0,이륜,중상,건설기계,상해없음
3,30,2019년 1월 2일 15시,서울특별시 서초구 서초동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
4,35,2019년 1월 2일 18시,서울특별시 영등포구 여의도동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5,36,2019년 1월 2일 18시,서울특별시 중랑구 면목동,중상사고,0,1,0,0,승합,상해없음,이륜,중상
6,37,2019년 1월 2일 19시,서울특별시 영등포구 신길동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
7,38,2019년 1월 2일 20시,서울특별시 송파구 가락동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
8,39,2019년 1월 2일 21시,서울특별시 중구 신당동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
9,40,2019년 1월 2일 21시,서울특별시 중랑구 면목동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
10,49,2019년 1월 3일 00시,서울특별시 은평구 갈현동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
11,54,2019년 1월 3일 06시,서울특별시 양천구 목동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
12,56,2019년 1월 3일 08시,서울특별시 서초구 우면동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
13,58,2019년 1월 3일 09시,서울특별시 영등포구 영등포동2가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
14,65,2019년 1월 3일 12시,서울특별시 동대문구 장안동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
15,66,2019년 1월 3일 12시,서울특별시 관악구 신림동,중상사고,0,1,0,0,화물,상해없음,이륜,중상
16,70,2019년 1월 3일 16시,서울특별시 강서구 방화동,중상사고,0,1,0,0,건설기계,상해없음,이륜,중상
17,76,2019년 1월 3일 20시,서울특별시 마포구 용강동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
18,81,2019년 1월 3일 23시,서울특별시 도봉구 도봉동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
19,85,2019년 1월 4일 08시,서울특별시 종로구 궁정동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
20,90,2019년 1월 4일 12시,서울특별시 구로구 구로동,중상사고,0,1,1,0,승용,경상,이륜,중상
21,93,2019년 1월 4일 17시,서울특별시 동대문구 장안동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
22,94,2019년 1월 4일 18시,서울특별시 서대문구 북가좌동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
23,100,2019년 1월 4일 19시,서울특별시 양천구 목동,중상사고,0,1,1,0,승용,상해없음,이륜,중상
24,102,2019년 1월 4일 20시,서울특별시 서대문구 홍은동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
25,106,2019년 1월 4일 20시,서울특별시 서초구 반포동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
26,107,2019년 1월 4일 21시,서울특별시 용산구 한남동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
27,109,2019년 1월 4일 21시,서울특별시 강동구 천호동,중상사고,0,1,0,1,이륜,부상신고,보행자,중상
28,113,2019년 1월 4일 22시,서울특별시 관악구 봉천동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
29,116,2019년 1월 5일 00시,서울특별시 영등포구 영등포동7가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
30,119,2019년 1월 5일 09시,서울특별시 용산구 이태원동,중상사고,0,2,0,0,승용,상해없음,이륜,중상
31,122,2019년 1월 5일 10시,서울특별시 서초구 방배동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
32,128,2019년 1월 5일 16시,서울특별시 동작구 상도동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
33,129,2019년 1월 5일 17시,서울특별시 종로구 구기동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
34,131,2019년 1월 5일 18시,서울특별시 영등포구 양평동2가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
35,137,2019년 1월 6일 02시,서울특별시 구로구 구로동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
36,138,2019년 1월 6일 06시,서울특별시 동대문구 장안동,중상사고,0,1,0,0,자전거,중상,이륜,상해없음
37,141,2019년 1월 6일 13시,서울특별시 동작구 상도동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
38,145,2019년 1월 6일 18시,서울특별시 마포구 마포동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
39,146,2019년 1월 6일 18시,서울특별시 동작구 신대방동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
40,147,2019년 1월 7일 00시,서울특별시 노원구 상계동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
41,157,2019년 1월 7일 13시,서울특별시 성북구 종암동,중상사고,0,2,0,0,승용,상해없음,이륜,중상
42,159,2019년 1월 7일 15시,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,화물,상해없음,이륜,중상
43,162,2019년 1월 7일 15시,서울특별시 강남구 대치동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
44,169,2019년 1월 8일 01시,서울특별시 용산구 원효로1가,중상사고,0,1,2,0,이륜,경상,승용,경상
45,176,2019년 1월 8일 09시,서울특별시 동대문구 용두동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
46,187,2019년 1월 8일 15시,서울특별시 동작구 상도동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
47,193,2019년 1월 8일 20시,서울특별시 종로구 창신동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
48,194,2019년 1월 8일 20시,서울특별시 도봉구 쌍문동,중상사고,0,1,1,0,승용,상해없음,이륜,경상
49,208,2019년 1월 9일 05시,서울특별시 중랑구 중화동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
50,211,2019년 1월 9일 08시,서울특별시 중구 만리동1가,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
51,215,2019년 1월 9일 11시,서울특별시 중구 쌍림동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
52,222,2019년 1월 9일 15시,서울특별시 중랑구 중화동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
53,223,2019년 1월 9일 16시,서울특별시 영등포구 여의도동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
54,226,2019년 1월 9일 18시,서울특별시 구로구 구로동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
55,230,2019년 1월 9일 21시,서울특별시 강남구 논현동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
56,231,2019년 1월 9일 22시,서울특별시 성북구 삼선동3가,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
57,232,2019년 1월 9일 22시,서울특별시 강북구 미아동,중상사고,0,1,1,0,이륜,중상,이륜,경상
58,243,2019년 1월 10일 10시,서울특별시 영등포구 도림동,중상사고,0,1,0,0,이륜,중상,,
59,245,2019년 1월 10일 11시,서울특별시 노원구 상계동,중상사고,0,1,1,1,화물,상해없음,이륜,중상
60,246,2019년 1월 10일 12시,서울특별시 동대문구 제기동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
61,260,2019년 1월 10일 20시,서울특별시 구로구 오류동,중상사고,0,2,0,0,승용,상해없음,이륜,중상
62,261,2019년 1월 10일 22시,서울특별시 강남구 역삼동,중상사고,0,1,0,0,기타불명,기타불명,이륜,중상
63,282,2019년 1월 11일 16시,서울특별시 동작구 노량진동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
64,289,2019년 1월 11일 19시,서울특별시 영등포구 문래동1가,중상사고,0,1,0,0,이륜,중상,승합,상해없음
