행정동,구_x,행정동코드,1인가구,생활인구,동면적,도로율,도로면적,행정동
가락동,송파구,11710620,6700,90441,3.43,0.6204,0.709324,가락동
가리봉동,구로구,11530595,2849,11309,0.4,0.2206,0.08824,가리봉동
가산동,금천구,11545510,9775,60073,2.52,0.2138,0.538776,가산동
가양동,강서구,11500603,17571,75209,6.2,0.8097,1.67338,가양동
가회동,종로구,11110600,631,7131,0.54,0.2144,0.115776,가회동
갈현동,은평구,11380551,6509,46427,1.93,0.4416,0.426144,갈현동
강남신사,강남구,11680510,1094,75610,2.53,0.4947,0.617358,강남신사
강일동,강동구,11740515,2081,51629,2.26,0.2432,0.549632,강일동
개봉동,구로구,11530740,7824,68040,2.92,0.6618,0.644152,개봉동
개포동,강남구,11680660,3888,49830,5.27,0.7218,1.267962,개포동
거여동,송파구,11710531,3279,31511,1.04,0.4136,0.215072,거여동
고척동,구로구,11530720,5132,39092,2.18,0.4412,0.480908,고척동
공덕동,마포구,11440565,6338,39172,1.01,0.2861,0.288961,공덕동
공릉동,노원구,11350595,12139,85386,8.23,0.4742,1.951333,공릉동
공항동,강서구,11500620,4329,34201,10.87,0.2699,2.933813,공항동
광장동,광진구,11215810,1501,35627,2.39,0.2883,0.689037,광장동
광희동,중구,11140590,1391,23176,0.74,0.1882,0.139268,광희동
교남동,종로구,11110580,1219,7143,0.35,0.2144,0.07504,교남동
구로동,구로구,11530520,17133,109083,3.53,0.8824,0.778718,구로동
구산동,은평구,11380560,2785,24661,1.38,0.2208,0.304704,구산동
구의동,광진구,11215850,11750,76407,2.97,0.8649,0.856251,구의동
군자동,광진구,11215730,5546,19049,0.74,0.2883,0.213342,군자동
금호동,성동구,11200590,5681,47140,1.94,0.6927,0.447946,금호동
길동,강동구,11740685,6909,56112,2.17,0.2432,0.527744,길동
길음동,성북구,11290660,3387,53571,1.37,0.4718,0.323183,길음동
남가좌동,서대문구,11410690,5179,25136,1.28,0.345,0.2208,남가좌동
